Field Name	Parse statement	Description	Sample value from Log
log_timestamp	parse_timestamp("%Y-%m-%d %H:%M:%S",arrayindex(regextract(_raw_log,"(\d{4}-\d{2}-\d{2} \d{2}\:\d{2}\:\d{2}),\d{3}\s\|"),0)	
_time	if(log_timestamp != null, log_timestamp, _insert_time)	
header_fields	regexcapture(_raw_log,"^(?:.*? \|\|) *\[(?P<log_level>\w+) *\] \|\| (?P<source_file>.*?) \|\| Client-IP: (?P<src>\d{1,3}.\d{1,3}\.\d{1,3}\.\d{1,3}).*? \|\| X-Forwarded-Host: (?P<dest>.*?) \|\| WebContainer : (?P<WebContainer>.*?) \|\| (?P<source_class>.*?) \|\| UserId: \[ ?(?:(?P<user>.*?)|) ?\] \|\| X-Request-ID: (?P<request_id>.*?) \|\|")	
header3	regexcapture(_raw_log,"Code\":\"(?P<event_code>.*?)\",\"Description\":\"(?P<description>.*?)\"\},\"Source\":\"(?P<src>.*?)\".*?Type\"\:\"(?P<type>.*?)\"")	
event	regexcapture(_raw_log,"X-Request-ID: .*? \|\| (?P<event_id>\d+.*?) \- (?P<signature>.*?) \|\|END_OF_MESSAGE\|\|")	
c_ip	arrayindex(regextract(_raw_log,"^(?:[^ \n]* ){9}(?P<c_ip>[^,]+)"),0)	
SocketException	arrayindex(regextract(_raw_log,"SocketException: (.*?)\n"),0)	
ResourceAccessException	arrayindex(regextract(_raw_log,"ResourceAccessException: (.*?):\s"),0)	
CertPathValidatorException	arrayindex(regextract(_raw_log,"CertPathValidatorException: (.*?);"),0)	
status	arrayindex(regextract(_raw_log,"HttpStatus:\s(\d{3}.*?),"),0)	
status2	arrayindex(regextract(_raw_log,"returned with response:\s+<(\d{3}.*?)\s"),0)	
url	arrayindex(regextract(_raw_log,"163 - Invoking get customer profile for endpoint : (.*?)\s"),0)	
response_time	arrayindex(regextract(_raw_log,"After\s(\d+)\smilliseconds"),0)	
user_id	arrayindex(regextract(_raw_log,"UserID\":\"([^\"]+)"),0)	
PartyKey	arrayindex(regextract(_raw_log,"PartyKey\":\"([^\"]+)"),0)	
dvc	arrayindex(regextract(_raw_log,"DeviceId\":\"([^\"]+)"),0)	
Country	arrayindex(regextract(_raw_log,"Country\":\"([^\"]+)"),0)	
channel	arrayindex(regextract(_raw_log,"ChannelID\":\"([^\"]+)"),0)	
message_correlation_id	arrayindex(regextract(_raw_log,"CorrelationID\":\"([^\"]+)"),0)	
EntityReference	arrayindex(regextract(_raw_log,"EntityReference\":\"([^\"]+)"),0)	
response_code	arrayindex(regextract(_raw_log,"Code\":\"([^\"]+)"),0)	
signature	arrayindex(regextract(_raw_log,"Description\":\"([^\"]+)"),0)	
app	arrayindex(regextract(_raw_log,"Source\":\"([^\"]+)"),0)	
was_server	arrayindex(regextract(_raw_log,"Server=\[([^\]]+)"),0)	
failedlogin	regexcapture(_raw_log,"(?P<signature_id>\d+) - (?P<signature>User not found|Invalid credentials supplied for user|The account is locked by user entering too many incorrect passwords|Blank or empty userid supplied): (?P<user>.*?) +\|\|")	
source_file	header_fields -> source_file	
